x;y;life_span;mean_BC;max_BC;trend_BC;mean_DeltaBC;max_DeltaBC;BC_EuclideanNorm;BC_Deviation
3687652;7697212;25;0.007982043716525812;0.011296113930762821;0.0003708538232367789;0.00042909584387413506;0.008604883913420316;0.04380892133965893;0.003613286822997552
3698442;9226315;3;0.0007747878032929857;0.0007797988490912875;-5.401339551921531e-06;5.40133955192107e-06;6.572220812778914e-06;0.0013419939207417841;4.4445814649217974e-06
3699454;7367409;45;0.06112979627056918;0.08822702048401258;0.00032520738490762795;0.0045167308925083945;0.038417627187435875;0.42128591988472397;0.014394047110184816
3700880;6703028;40;0.01341529529891079;0.016816992283913545;8.753370157621828e-05;0.0007596615911501303;0.011765891865608127;0.08690684555644998;0.0029748692672684385
3701493;9077169;32;0.0018292226918111905;0.0023374727014290647;-2.9079951394897047e-06;3.989808507883433e-05;0.0007612942950732317;0.010410457132586272;0.000201853652883182
3707652;7736689;17;0.0049214414882059725;0.00532557057365784;-4.777884845212894e-05;4.606606560413534e-05;0.00011559036499220621;0.020315823881454788;0.00024043251604182565
3707735;7736586;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3712501;7735918;17;0.007291935337308705;0.007888579869490406;-6.986419231369514e-05;6.8053379282965e-05;0.0001688464912916795;0.03010037019176501;0.0003517041957251464
3712517;7735936;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3712524;7735942;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3712529;7735905;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3712558;7735963;17;0.0033681118829065573;0.0036464769984957852;-3.357610796165194e-05;3.169332179690741e-05;8.133483284564246e-05;0.013904521252363416;0.00016885272197772477
3712580;7735949;17;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3712828;6916654;41;0.0009328949211411449;0.0012801592675544444;-9.9314300395335e-06;2.155990490809403e-05;0.00031590917013876675;0.006029017638547645;0.00012755136663894465
3715395;6829853;57;0.003015189138051353;0.012950873341421611;-0.0001325191687353539;0.0006737943064706452;0.010373502628969801;0.04064910915156311;0.004460631375215981
3716353;5619238;59;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3722444;8968598;32;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3726665;7571658;50;0.0010103206884724283;0.0017295557096743811;-1.3550717984355596e-05;3.3218404256784995e-05;0.00031590917013876675;0.007310968114691687;0.00021967521918816676
